feature1,feature2,feature3,feature4,feature5,feature6,feature7,class_label
0.43,0.37,0.48,0.5,0.53,0.35,0.44,cp
0.73,0.36,0.48,0.5,0.53,0.91,0.92,im
0.43,0.39,0.48,0.5,0.47,0.31,0.41,cp
0.53,0.38,0.48,0.5,0.44,0.26,0.36,cp
0.34,0.33,0.48,0.5,0.38,0.35,0.44,cp
0.63,1.0,0.48,0.5,0.35,0.51,0.49,pp
0.84,0.44,0.48,0.5,0.48,0.71,0.74,im
0.48,0.45,0.48,0.5,0.6,0.78,0.8,im
0.54,0.49,0.48,0.5,0.4,0.87,0.88,im
0.56,0.51,0.48,0.5,0.34,0.37,0.46,cp
0.66,0.48,0.48,0.5,0.54,0.7,0.74,imU
0.57,0.59,0.48,0.5,0.39,0.47,0.33,pp
0.64,0.46,0.48,0.5,0.48,0.73,0.76,imU
0.48,0.41,0.48,0.5,0.51,0.9,0.88,im
0.71,0.71,0.48,0.5,0.4,0.54,0.39,pp
0.5,0.66,0.48,0.5,0.31,0.92,0.92,im
0.66,0.74,0.48,0.5,0.31,0.38,0.43,pp
0.76,0.71,0.48,0.5,0.5,0.71,0.75,imU
0.67,0.81,0.48,0.5,0.25,0.42,0.25,pp
0.64,0.72,0.48,0.5,0.49,0.42,0.19,pp
0.4,0.29,0.48,0.5,0.42,0.35,0.44,cp
0.24,0.35,0.48,0.5,0.31,0.19,0.31,cp
0.36,0.54,0.48,0.5,0.41,0.38,0.46,cp
0.06,0.61,0.48,0.5,0.49,0.92,0.37,im
0.71,0.52,0.48,0.5,0.64,1.0,0.99,im
0.29,0.52,0.48,0.5,0.42,0.29,0.39,cp
0.72,0.46,0.48,0.5,0.51,0.66,0.7,im
0.47,0.55,0.48,0.5,0.58,0.71,0.75,im
0.46,0.59,0.48,0.5,0.36,0.76,0.23,im
0.65,0.47,0.48,0.5,0.59,0.3,0.4,cp
0.78,0.68,0.48,0.5,0.83,0.4,0.29,om
0.52,0.81,0.48,0.5,0.72,0.38,0.38,om
0.68,0.82,0.48,0.5,0.38,0.65,0.56,pp
0.32,0.39,0.48,0.5,0.53,0.28,0.38,pp
0.64,0.57,0.48,0.5,0.7,0.33,0.26,om
0.7,0.64,0.48,0.5,0.47,0.51,0.47,pp
0.84,0.49,0.48,0.5,0.55,0.78,0.74,imU
0.77,0.55,0.48,0.5,0.51,0.78,0.74,imU
0.32,0.42,0.48,0.5,0.35,0.28,0.38,cp
0.63,0.69,0.48,0.5,0.65,0.41,0.28,om
0.6,0.76,1.0,0.5,0.77,0.59,0.52,om
0.63,0.57,0.48,0.5,0.49,0.7,0.2,pp
0.33,0.56,0.48,0.5,0.33,0.78,0.8,im
0.64,0.58,0.48,0.5,0.48,0.78,0.73,im
0.81,0.44,0.48,0.5,0.42,0.67,0.68,imU
0.36,0.45,0.48,0.5,0.38,0.79,0.17,im
0.0,0.51,0.48,0.5,0.35,0.67,0.44,im
0.1,0.49,0.48,0.5,0.41,0.67,0.21,im
0.54,0.57,0.48,0.5,0.56,0.81,0.83,im
0.38,0.46,0.48,0.5,0.48,0.22,0.29,cp
0.33,0.45,0.48,0.5,0.52,0.32,0.41,cp
0.3,0.37,0.48,0.5,0.59,0.41,0.49,cp
0.47,0.59,0.48,0.5,0.52,0.76,0.79,im
0.63,0.5,0.48,0.5,0.59,0.85,0.86,im
0.4,0.5,0.48,0.5,0.45,0.39,0.47,cp
0.74,0.82,0.48,0.5,0.49,0.49,0.41,pp
0.28,0.38,0.48,0.5,0.5,0.33,0.42,cp
0.63,0.86,0.48,0.5,0.39,0.47,0.34,pp
0.49,0.42,0.48,0.5,0.53,0.79,0.81,im
0.61,0.45,0.48,0.5,0.48,0.35,0.41,cp
0.63,0.83,0.48,0.5,0.4,0.39,0.19,pp
0.31,0.5,0.48,0.5,0.57,0.84,0.85,im
0.74,0.44,0.48,0.5,0.55,0.88,0.89,im
0.58,0.6,0.48,0.5,0.59,0.73,0.76,imU
0.17,0.38,0.48,0.5,0.45,0.42,0.5,cp
0.44,0.35,0.48,0.5,0.55,0.55,0.61,cp
0.43,0.4,0.48,0.5,0.39,0.28,0.39,cp
0.42,0.35,0.48,0.5,0.58,0.15,0.27,cp
0.23,0.33,0.48,0.5,0.43,0.33,0.43,cp
0.37,0.52,0.48,0.5,0.42,0.42,0.36,cp
0.63,0.71,0.48,0.5,0.6,0.4,0.39,pp
0.29,0.3,0.48,0.5,0.45,0.03,0.17,cp
0.22,0.36,0.48,0.5,0.35,0.39,0.47,cp
0.23,0.58,0.48,0.5,0.37,0.53,0.59,cp
0.47,0.47,0.48,0.5,0.22,0.16,0.26,cp
0.54,0.47,0.48,0.5,0.28,0.33,0.42,cp
0.33,0.45,0.48,0.5,0.45,0.88,0.89,im
0.51,0.37,0.48,0.5,0.35,0.36,0.45,cp
0.63,0.42,0.48,0.5,0.48,0.77,0.8,imU
0.45,0.4,0.48,0.5,0.61,0.74,0.77,im
0.62,0.42,0.48,0.5,0.58,0.79,0.81,imU
0.71,0.4,0.48,0.5,0.71,0.7,0.74,im
0.67,0.88,0.48,0.5,0.73,0.5,0.25,om
0.78,0.44,0.48,0.5,0.45,0.73,0.68,imU
0.4,0.35,0.48,0.5,0.45,0.33,0.42,cp
0.5,0.37,0.48,0.5,0.66,0.64,0.69,im
0.71,0.86,0.48,0.5,0.4,0.54,0.32,pp
0.68,0.78,0.48,0.5,0.43,0.44,0.42,pp
0.66,0.53,0.48,0.5,0.59,0.66,0.66,im
0.6,0.61,0.48,0.5,0.54,0.67,0.71,im
0.44,0.34,0.48,0.5,0.3,0.33,0.43,cp
0.42,0.38,0.48,0.5,0.54,0.34,0.43,cp
0.83,0.37,0.48,0.5,0.61,0.71,0.74,im
0.34,0.51,0.48,0.5,0.67,0.9,0.9,im
0.44,0.56,0.48,0.5,0.5,0.46,0.54,cp
0.64,0.84,0.48,0.5,0.37,0.45,0.4,pp
0.63,0.54,0.48,0.5,0.65,0.79,0.81,im
0.7,0.4,0.48,0.5,0.56,0.86,0.83,im
0.74,0.47,0.48,0.5,0.5,0.57,0.42,pp
0.52,0.36,0.48,0.5,0.41,0.28,0.38,cp
0.36,0.41,0.48,0.5,0.48,0.47,0.54,cp
0.18,0.3,0.48,0.5,0.46,0.24,0.35,cp
0.86,0.39,0.48,0.5,0.59,0.89,0.9,imU
0.81,0.53,0.48,0.5,0.57,0.87,0.88,imU
0.6,0.5,1.0,0.5,0.54,0.77,0.8,im
0.87,0.49,0.48,0.5,0.61,0.76,0.79,imU
0.47,0.46,0.48,0.5,0.62,0.74,0.77,imU
0.75,0.84,0.48,0.5,0.35,0.52,0.33,pp
0.47,0.29,0.48,0.5,0.51,0.33,0.43,cp
0.24,0.43,0.48,0.5,0.54,0.52,0.59,cp
0.25,0.37,0.48,0.5,0.41,0.33,0.42,cp
0.52,0.57,0.48,0.5,0.42,0.47,0.54,cp
0.25,0.37,0.48,0.5,0.43,0.26,0.36,cp
0.63,0.65,0.48,0.5,0.39,0.44,0.35,pp
0.76,0.41,0.48,0.5,0.5,0.59,0.62,imU
0.3,0.51,0.48,0.5,0.42,0.61,0.34,im
0.16,0.51,0.48,0.5,0.33,0.39,0.48,im
0.74,0.7,0.48,0.5,0.66,0.65,0.69,im
0.77,0.57,1.0,0.5,0.37,0.54,0.01,omL
0.35,0.48,0.48,0.5,0.56,0.4,0.48,cp
0.26,0.26,0.48,0.5,0.34,0.25,0.35,cp
0.2,0.46,0.48,0.5,0.57,0.78,0.81,im
0.61,0.75,0.48,0.5,0.51,0.33,0.33,om
0.63,0.49,0.48,0.5,0.54,0.76,0.79,imS
0.44,0.51,0.48,0.5,0.47,0.26,0.36,cp
0.89,0.55,0.48,0.5,0.51,0.72,0.76,im
0.7,0.46,0.48,0.5,0.56,0.78,0.73,im
0.37,0.5,0.48,0.5,0.42,0.36,0.45,cp
0.44,0.42,0.48,0.5,0.42,0.25,0.2,cp
0.75,0.55,1.0,1.0,0.4,0.47,0.3,imL
0.66,0.49,1.0,0.5,0.54,0.56,0.36,omL
0.71,0.46,1.0,0.5,0.52,0.59,0.3,omL
0.67,0.84,0.48,0.5,0.74,0.54,0.37,om
0.69,0.67,0.48,0.5,0.3,0.39,0.24,pp
0.7,0.71,0.48,0.5,0.42,0.84,0.85,pp
0.7,0.53,0.48,0.5,0.7,0.86,0.87,imU
0.64,0.45,0.48,0.5,0.67,0.61,0.66,imU
0.74,0.9,0.48,0.5,0.57,0.53,0.29,om
0.73,0.84,0.48,0.5,0.86,0.58,0.29,om
0.75,0.76,0.48,0.5,0.83,0.57,0.3,om
0.69,0.59,0.48,0.5,0.77,0.39,0.21,om
0.24,0.43,0.48,0.5,0.37,0.28,0.38,cp
0.63,0.49,0.48,0.5,0.79,0.45,0.28,om
0.77,0.57,0.48,0.5,0.88,0.53,0.2,om
0.69,0.8,0.48,0.5,0.46,0.57,0.26,pp
0.64,0.66,0.48,0.5,0.41,0.39,0.2,pp
0.42,0.3,0.48,0.5,0.48,0.26,0.36,cp
0.48,0.42,0.48,0.5,0.45,0.25,0.35,cp
0.68,0.63,0.48,0.5,0.73,0.4,0.3,om
0.67,0.55,1.0,0.5,0.66,0.58,0.16,omL
0.41,0.48,0.48,0.5,0.51,0.44,0.51,cp
0.44,0.28,0.48,0.5,0.43,0.27,0.37,cp
0.29,0.41,0.48,0.5,0.48,0.38,0.46,cp
0.34,0.28,0.48,0.5,0.41,0.35,0.44,cp
0.12,0.43,0.48,0.5,0.63,0.7,0.74,im
0.41,0.43,0.48,0.5,0.45,0.31,0.41,cp
0.74,0.78,0.48,0.5,0.75,0.54,0.15,om
0.29,0.47,0.48,0.5,0.41,0.23,0.34,cp
0.61,0.52,0.48,0.5,0.54,0.67,0.52,im
0.34,0.55,0.48,0.5,0.58,0.31,0.41,cp
0.36,0.56,0.48,0.5,0.43,0.45,0.53,cp
0.33,0.37,0.48,0.5,0.46,0.65,0.69,im
0.81,0.52,0.48,0.5,0.57,0.78,0.8,imU
0.63,0.8,0.48,0.5,0.46,0.31,0.29,pp
0.63,0.65,0.48,0.5,0.66,0.67,0.71,im
0.66,0.71,0.48,0.5,0.41,0.5,0.35,pp
0.69,0.59,0.48,0.5,0.46,0.44,0.52,pp
0.68,0.67,0.48,0.5,0.49,0.4,0.34,pp
0.4,0.46,0.48,0.5,0.52,0.49,0.56,cp
0.41,0.51,0.48,0.5,0.53,0.75,0.78,im
0.64,0.78,0.48,0.5,0.5,0.36,0.38,pp
0.34,0.67,0.48,0.5,0.52,0.76,0.79,im
0.58,0.34,0.48,0.5,0.56,0.87,0.81,im
0.62,0.78,0.48,0.5,0.47,0.49,0.54,pp
0.5,0.49,0.48,0.5,0.49,0.46,0.53,cp
0.52,0.44,0.48,0.5,0.37,0.36,0.42,cp
0.59,0.56,0.48,0.5,0.55,0.8,0.82,im
0.51,0.4,0.48,0.5,0.57,0.62,0.67,im
0.5,0.51,0.48,0.5,0.27,0.23,0.34,cp
0.53,0.42,0.48,0.5,0.16,0.29,0.39,cp
0.5,0.57,0.48,0.5,0.71,0.61,0.66,im
0.6,0.46,0.48,0.5,0.45,0.81,0.83,im
0.34,0.46,0.48,0.5,0.52,0.35,0.44,cp
0.37,0.47,0.48,0.5,0.39,0.76,0.79,im
0.4,0.42,0.48,0.5,0.37,0.27,0.27,cp
0.58,0.55,0.48,0.5,0.57,0.7,0.74,im
0.41,0.43,0.48,0.5,0.5,0.24,0.25,cp
0.36,0.47,0.48,0.5,0.51,0.69,0.72,im
0.3,0.45,0.48,0.5,0.36,0.21,0.32,cp
0.31,0.47,0.48,0.5,0.29,0.28,0.39,cp
0.64,0.76,0.48,0.5,0.45,0.35,0.38,cp
0.73,0.26,0.48,0.5,0.57,0.75,0.78,imU
0.39,0.41,0.48,0.5,0.52,0.72,0.75,im
0.35,0.37,0.48,0.5,0.3,0.34,0.43,cp
0.35,0.51,0.48,0.5,0.61,0.71,0.74,im
0.76,0.73,0.48,0.5,0.44,0.39,0.39,pp
0.31,0.44,0.48,0.5,0.5,0.79,0.82,im
0.57,0.54,0.48,0.5,0.37,0.28,0.33,cp
0.65,0.55,0.48,0.5,0.34,0.37,0.28,cp
0.64,0.81,0.48,0.5,0.37,0.39,0.44,pp
0.51,0.46,0.48,0.5,0.58,0.31,0.41,cp
0.38,0.4,0.48,0.5,0.63,0.25,0.35,cp
0.49,0.61,1.0,0.5,0.56,0.71,0.74,imU
0.24,0.57,0.48,0.5,0.63,0.34,0.43,cp
0.38,0.26,0.48,0.5,0.54,0.16,0.28,cp
0.33,0.47,0.48,0.5,0.53,0.18,0.29,cp
0.24,0.34,0.48,0.5,0.38,0.3,0.4,cp
0.26,0.5,0.48,0.5,0.44,0.32,0.41,cp
0.44,0.49,0.48,0.5,0.39,0.38,0.4,cp
0.43,0.32,0.48,0.5,0.33,0.45,0.52,cp
0.61,0.66,0.48,0.5,0.46,0.87,0.88,im
0.88,0.42,0.48,0.5,0.52,0.73,0.75,imU
0.48,0.49,0.48,0.5,0.52,0.77,0.71,im
0.11,0.5,0.48,0.5,0.58,0.72,0.68,im
0.84,0.54,0.48,0.5,0.75,0.92,0.7,imU
0.31,0.36,0.48,0.5,0.58,0.94,0.94,im
0.49,0.43,0.48,0.5,0.49,0.3,0.4,cp
0.68,0.49,1.0,0.5,0.62,0.55,0.28,omL
0.47,0.28,0.48,0.5,0.56,0.2,0.25,cp
0.32,0.33,0.48,0.5,0.6,0.06,0.2,cp
0.29,0.39,0.48,0.5,0.52,0.4,0.48,pp
0.62,0.83,0.48,0.5,0.46,0.36,0.4,pp
0.34,0.35,0.48,0.5,0.51,0.49,0.56,cp
0.35,0.34,0.48,0.5,0.46,0.3,0.27,cp
0.38,0.3,0.48,0.5,0.43,0.29,0.39,cp
0.38,0.44,0.48,0.5,0.43,0.2,0.31,cp
0.41,0.51,0.48,0.5,0.58,0.2,0.31,cp
0.34,0.42,0.48,0.5,0.41,0.34,0.43,cp
0.51,0.49,0.48,0.5,0.53,0.14,0.26,cp
0.25,0.51,0.48,0.5,0.37,0.42,0.5,cp
0.29,0.28,0.48,0.5,0.5,0.42,0.5,cp
0.25,0.26,0.48,0.5,0.39,0.32,0.42,cp
0.24,0.41,0.48,0.5,0.49,0.23,0.34,cp
0.17,0.39,0.48,0.5,0.53,0.3,0.39,cp
0.04,0.31,0.48,0.5,0.41,0.29,0.39,cp
0.61,0.36,0.48,0.5,0.49,0.35,0.44,cp
0.34,0.51,0.48,0.5,0.44,0.37,0.46,cp
0.28,0.33,0.48,0.5,0.45,0.22,0.33,cp
0.4,0.46,0.48,0.5,0.42,0.35,0.44,cp
0.23,0.34,0.48,0.5,0.43,0.26,0.37,cp
0.37,0.44,0.48,0.5,0.42,0.39,0.47,cp
0.0,0.38,0.48,0.5,0.42,0.48,0.55,cp
0.39,0.31,0.48,0.5,0.38,0.34,0.43,cp
0.3,0.44,0.48,0.5,0.49,0.22,0.33,cp
0.56,0.54,0.48,0.5,0.43,0.37,0.3,pp
0.63,0.51,0.48,0.5,0.64,0.72,0.76,imU
0.69,0.66,0.48,0.5,0.41,0.5,0.25,pp
0.27,0.3,0.48,0.5,0.71,0.28,0.39,cp
0.17,0.52,0.48,0.5,0.49,0.37,0.46,cp
0.68,0.51,0.48,0.5,0.71,0.75,0.78,im
0.61,0.47,0.48,0.5,0.0,0.8,0.32,im
0.69,0.65,0.48,0.5,0.63,0.48,0.41,pp
0.71,0.71,0.48,0.5,0.68,0.43,0.36,om
0.63,0.75,0.48,0.5,0.64,0.73,0.66,im
0.57,0.38,0.48,0.5,0.06,0.49,0.33,imU
0.43,0.59,0.48,0.5,0.52,0.49,0.56,pp
0.74,0.56,0.48,0.5,0.47,0.68,0.3,pp
0.68,0.76,0.48,0.5,0.84,0.45,0.27,om
0.36,0.42,0.48,0.5,0.53,0.32,0.41,cp
0.86,0.55,0.48,0.5,0.63,0.81,0.83,imU
0.3,0.37,0.48,0.5,0.43,0.18,0.3,cp
0.71,0.57,0.48,0.5,0.48,0.35,0.32,pp
0.26,0.4,0.48,0.5,0.36,0.26,0.37,cp
0.79,0.54,0.48,0.5,0.5,0.66,0.68,imU
0.61,0.6,0.48,0.5,0.44,0.39,0.38,pp
0.4,0.41,0.48,0.5,0.55,0.22,0.33,cp
0.22,0.34,0.48,0.5,0.42,0.29,0.39,cp
0.44,0.35,0.48,0.5,0.44,0.52,0.59,cp
0.27,0.42,0.48,0.5,0.37,0.38,0.43,cp
0.16,0.43,0.48,0.5,0.54,0.27,0.37,cp
0.69,0.39,0.48,0.5,0.57,0.76,0.79,im
0.59,0.61,0.48,0.5,0.42,0.42,0.37,pp
0.52,0.54,0.48,0.5,0.62,0.76,0.79,im
0.74,0.74,0.48,0.5,0.31,0.53,0.52,pp
0.7310338890070317,0.48930844482250163,1.0,0.8103388900703175,0.4417254441845302,0.6027627769507777,0.5048339987240571,imL
0.7159242431913132,0.4409575782122023,1.0,0.659242431913132,0.47496666497911094,0.7085302976608076,0.6680181735338173,imL
0.7440277384472236,0.5308887630311154,1.0,0.9402773844722356,0.41313897541610817,0.511805830869435,0.3645004247699854,imL
0.7138247063450267,0.43423906030408543,1.0,0.6382470634502668,0.47958564604094134,0.7232270555848131,0.6906931714737118,imL
0.7078398095493205,0.41508739055782573,1.0,0.5783980954932054,0.4927524189914948,0.7651213331547562,0.7553300568673381,imL
0.7410453330371328,0.521345065718825,1.0,0.9104533303713278,0.4197002673183079,0.5326826687400705,0.39671040319896583,imL
0.7031443972249076,0.4000620711197047,1.0,0.5314439722490771,0.5030823261052031,0.7979892194256459,0.8060405099709966,imL
0.7286414919231983,0.48165277415423463,1.0,0.7864149192319831,0.44698871776896376,0.6195095565376119,0.5306718872294582,imL
0.7306437778829931,0.48806008922557803,1.0,0.8064377788299313,0.44258368865741515,0.6054935548190481,0.5090471988636742,imL
0.7303973254383265,0.48727144140264467,1.0,0.8039732543832645,0.4431258840356818,0.6072187219317148,0.5117088852660743,imL
0.7337322590786122,0.4979432290515591,1.0,0.837322590786122,0.43578903002705316,0.5838741864497146,0.47569160195098814,imL
0.7189444736935686,0.4506223158194196,1.0,0.6894447369356862,0.46832215787414905,0.6873886841450196,0.6353996841094589,imL
0.7174293932011414,0.4457740582436526,1.0,0.6742939320114143,0.47165533495748885,0.6979942475920099,0.6517625534276724,imL
0.7043297943568055,0.4038553419417778,1.0,0.5432979435680555,0.5004744524150277,0.7896914395023611,0.7932382209465,imL
0.7068237712261944,0.41183606792382244,1.0,0.568237712261945,0.49498770330237213,0.7722336014166384,0.7663032707570994,imL
0.7406086742168269,0.5199477574938461,1.0,0.9060867421682691,0.4206609167229808,0.5357392804822116,0.4014263184582693,imL
0.7204498561542457,0.4554395396935863,1.0,0.704498561542457,0.4650103164606595,0.67685100692028,0.6191415535341463,imL
0.7177311173842243,0.44673957562951816,1.0,0.6773111738422442,0.4709915417547063,0.695882178310429,0.6485039322503763,imL
0.7104998254489042,0.4235994414364936,1.0,0.6049982544890423,0.4869003840124107,0.7465012218576703,0.7266018851518342,imL
0.7349699511711807,0.5019038437477782,1.0,0.8496995117118067,0.43306610742340257,0.5752103418017352,0.4623245273512487,imL
0.7097191039310027,0.42110113257920884,1.0,0.5971910393100275,0.48861797135179397,0.7519662724829806,0.7350336775451702,imL
0.7177061175613981,0.4466595761964741,1.0,0.6770611756139815,0.4710465413649241,0.6960571770702129,0.6487739303368999,imL
0.7080092111323089,0.4156294756233885,1.0,0.580092111323089,0.49237973550892045,0.7639355220738376,0.7535005197710638,imL
0.7465483230656111,0.5389546338099558,1.0,0.9654832306561116,0.4075936892556555,0.4941617385407218,0.33727811089139936,imL
0.7156871585622033,0.4401989073990506,1.0,0.6568715856220331,0.47548825116315274,0.7101898900645768,0.6705786875282043,imL
0.7399433541460195,0.5178187332672627,1.0,0.8994335414601958,0.4221246208787569,0.540396520977863,0.40861177522298847,imL
0.7204367589073349,0.4553976285034721,1.0,0.7043675890733502,0.46503913040386297,0.6769426876486548,0.6192830038007817,imL
0.7136450452130361,0.4336641446817157,1.0,0.6364504521303616,0.4799809005313205,0.724484683508747,0.6926335116992095,imL
0.7326721552574813,0.49455089682394043,1.0,0.8267215525748137,0.438121258433541,0.5912949131976304,0.48714072321920104,imL
0.7231803166439035,0.4641770132604911,1.0,0.7318031664390348,0.4590033033834124,0.6577377834926756,0.5896525802458426,imL
0.7336720562407913,0.49775057997053235,1.0,0.8367205624079135,0.43592147627025907,0.5842956063144605,0.4763417925994534,imL
0.7378308047024912,0.5110585750479718,1.0,0.8783080470249118,0.4267722296545194,0.5551843670825616,0.4314273092130951,imL
0.748331213797186,0.5446598841509953,1.0,0.9833121379718601,0.4036713296461908,0.4816815034196979,0.31802289099039105,imL
0.7220373161142875,0.46051941156571985,1.0,0.7203731611428745,0.4615179045485676,0.6657387871999878,0.6019969859656955,imL
0.7210895029119873,0.4574864093183594,1.0,0.7108950291198729,0.46360309359362795,0.672373479616089,0.6122333685505372,imL
0.7368991254757891,0.508077201522525,1.0,0.8689912547578906,0.4288219239532641,0.5617061216694765,0.4414894448614781,imL
0.7374231582647229,0.5097541064471134,1.0,0.8742315826472293,0.42766905181760956,0.5580378921469396,0.4358298907409923,imL
0.7329847476960079,0.49555119262722525,1.0,0.8298474769600788,0.4374335550687827,0.5891067661279448,0.48376472488311484,imL
0.7157399653629944,0.4403678891615825,1.0,0.6573996536299452,0.4753720762014121,0.7098202424590383,0.6700083740796591,imL
0.7381643001253176,0.5121257604010166,1.0,0.8816430012531771,0.42603853972430106,0.552849899122776,0.42782555864656874,imL
0.7444671604584179,0.5322949134669371,1.0,0.9446716045841785,0.41217224699148075,0.5087298767910751,0.35975466704908715,imL
0.7155090753634287,0.439629041162972,1.0,0.6550907536342874,0.47588003420045677,0.7114364724559987,0.6725019860749695,imL
0.7256541732823283,0.4720933545034508,1.0,0.7565417328232836,0.4535608187788776,0.6404207870237014,0.5629349285508536,imL
0.7279869731105241,0.4795583139536771,1.0,0.7798697311052407,0.44842865915684704,0.6240911882263314,0.53774069040634,imL
0.7421364028149361,0.5248364890077954,1.0,0.9213640281493606,0.4172999138071407,0.5250451802954476,0.3849268495986905,imL
0.7175989648502206,0.4463166875207059,1.0,0.6759896485022059,0.4712822773295147,0.6968072460484558,0.6499311796176175,imL
0.7394227792413965,0.5161528935724692,1.0,0.8942277924139661,0.4232698856689275,0.5440405453102237,0.4142339841929166,imL
0.7480301717324082,0.543696549543706,1.0,0.9803017173240813,0.40433362218870217,0.48378879787314305,0.3212741452899922,imL
0.7173672228682677,0.44557511317845677,1.0,0.6736722286826774,0.471792109689811,0.6984294399221258,0.6524339930227083,imL
0.7069856235034102,0.41235399521091265,1.0,0.5698562350341021,0.49463162829249757,0.7711006354761285,0.7645552661631697,imL
0.7118401106852092,0.4278883541926697,1.0,0.6184011068520927,0.48395175649253963,0.737119225203535,0.7121268045997398,imL
0.7320302989614773,0.4924969566767273,1.0,0.8203029896147729,0.43953334228475,0.595787907269659,0.4940727712160453,imL
0.7464005189166788,0.5384816605333722,1.0,0.9640051891667882,0.4079188583833066,0.4951963675832482,0.33887439569986866,imL
0.7079036124586587,0.41529155986770827,1.0,0.5790361245865883,0.4926120525909506,0.7646747127893881,0.7546409854464846,imL
0.7041208508372208,0.4031867226791065,1.0,0.5412085083722078,0.5009341281581143,0.7911540441394544,0.7954948109580156,imL
0.7418076696383007,0.5237845428425623,1.0,0.9180766963830068,0.4180231267957385,0.5273463125318951,0.38847716790635256,imL
0.7435736960182532,0.5294358272584102,1.0,0.9357369601825318,0.41413786875984304,0.5149841278722277,0.36940408300286554,imL
0.7368414177334734,0.5078925367471152,1.0,0.8684141773347349,0.42894888098635836,0.5621100758656856,0.4421126884784863,imL
0.737521688825762,0.5100694042424384,1.0,0.8752168882576199,0.4274522845833236,0.5573481782196661,0.43476576068177053,imL
